"OID","Country or Area","Year","Description","Magnitude","Value"
"193a623.GG...","AUSTRALIA","2006","MONETARY GOLD AND SDRS","AUSTRALIAN DOLLA","0"
"193a6204GG...","AUSTRALIA","2006","LOANS","AUSTRALIAN DOLLA","32642000000"
"193a6304GG...","AUSTRALIA","2006","LOANS","AUSTRALIAN DOLLA","36033000000"
"193a63..GG...","AUSTRALIA","2006","LIABILITIES","AUSTRALIAN DOLLA","364103000000"
"193a6206GG...","AUSTRALIA","2006","INSURANCE TECHNICAL RESERVES","AUSTRALIAN DOLLA","0"
"193a6306GG...","AUSTRALIA","2006","INSURANCE TECHNICAL RESERVES","AUSTRALIAN DOLLA","174252000000"
"193a6M3.GG...","AUSTRALIA","2006","GROSS DEBT AT MARKET VALUE","AUSTRALIAN DOLLA","364103000000"
"193a6307GG...","AUSTRALIA","2006","FINANCIAL DERIVATIVES","AUSTRALIAN DOLLA","0"
"193a6207GG...","AUSTRALIA","2006","FINANCIAL DERIVATIVES","AUSTRALIAN DOLLA","0"
"193a62..GG...","AUSTRALIA","2006","FINANCIAL ASSETS","AUSTRALIAN DOLLA","418716000000"
"193a6202GG...","AUSTRALIA","2006","CURRENCY AND DEPOSITS","AUSTRALIAN DOLLA","18629000000"
"193a6302GG...","AUSTRALIA","2006","CURRENCY AND DEPOSITS","AUSTRALIAN DOLLA","4804000000"
"193a6305GG...","AUSTRALIA","2005","SHARES AND OTHER EQUITY","AUSTRALIAN DOLLA","0"
"193a6205GG...","AUSTRALIA","2005","SHARES AND OTHER EQUITY","AUSTRALIAN DOLLA","217850000000"
"193a6203GG...","AUSTRALIA","2005","SECURITIES OTHER THAN SHARES","AUSTRALIAN DOLLA","77959000000"
"193a6303GG...","AUSTRALIA","2005","SECURITIES OTHER THAN SHARES","AUSTRALIAN DOLLA","63102000000"
"193a6208GG...","AUSTRALIA","2005","OTHER ACCOUNTS RECEIVABLE","AUSTRALIAN DOLLA","39329000000"
"193a6308GG...","AUSTRALIA","2005","OTHER ACCOUNTS PAYABLE","AUSTRALIAN DOLLA","80232000000"
"193a61..GG...","AUSTRALIA","2005","NONFINANCIAL ASSETS","AUSTRALIAN DOLLA","527671000000"
"193a6...GG...","AUSTRALIA","2005","NET WORTH","AUSTRALIAN DOLLA","573185000000"
"193a6M2.GG...","AUSTRALIA","2005","NET FINANCIAL WORTH [62-63]","AUSTRALIAN DOLLA","45514000000"
"193a623.GG...","AUSTRALIA","2005","MONETARY GOLD AND SDRS","AUSTRALIAN DOLLA","0"
"193a6204GG...","AUSTRALIA","2005","LOANS","AUSTRALIAN DOLLA","30485000000"
"193a6304GG...","AUSTRALIA","2005","LOANS","AUSTRALIAN DOLLA","36030000000"
"193a63..GG...","AUSTRALIA","2005","LIABILITIES","AUSTRALIAN DOLLA","336405000000"
"193a6206GG...","AUSTRALIA","2005","INSURANCE TECHNICAL RESERVES","AUSTRALIAN DOLLA","0"
"193a6306GG...","AUSTRALIA","2005","INSURANCE TECHNICAL RESERVES","AUSTRALIAN DOLLA","152612000000"
"193a6M3.GG...","AUSTRALIA","2005","GROSS DEBT AT MARKET VALUE","AUSTRALIAN DOLLA","336383000000"
"193a6307GG...","AUSTRALIA","2005","FINANCIAL DERIVATIVES","AUSTRALIAN DOLLA","0"
"193a6207GG...","AUSTRALIA","2005","FINANCIAL DERIVATIVES","AUSTRALIAN DOLLA","0"
"193a62..GG...","AUSTRALIA","2005","FINANCIAL ASSETS","AUSTRALIAN DOLLA","381919000000"
"193a6202GG...","AUSTRALIA","2005","CURRENCY AND DEPOSITS","AUSTRALIAN DOLLA","16296000000"
"193a6302GG...","AUSTRALIA","2005","CURRENCY AND DEPOSITS","AUSTRALIAN DOLLA","4429000000"
"193a6305GG...","AUSTRALIA","2004","SHARES AND OTHER EQUITY","AUSTRALIAN DOLLA","0"
"193a6205GG...","AUSTRALIA","2004","SHARES AND OTHER EQUITY","AUSTRALIAN DOLLA","208153000000"
"193a6203GG...","AUSTRALIA","2004","SECURITIES OTHER THAN SHARES","AUSTRALIAN DOLLA","63148000000"
"193a6303GG...","AUSTRALIA","2004","SECURITIES OTHER THAN SHARES","AUSTRALIAN DOLLA","61179000000"
