"OID","Country or Area","Year","Description","Magnitude","Value"
"423a623.GG...","CYPRUS","2004","MONETARY GOLD AND SDRS","CYPRUS POUNDS","0"
"423a6304GG...","CYPRUS","2004","LOANS","CYPRUS POUNDS","2480500000"
"423a6204GG...","CYPRUS","2004","LOANS","CYPRUS POUNDS","375020000"
"423a63..GG...","CYPRUS","2004","LIABILITIES","CYPRUS POUNDS","8892810000"
"423a6206GG...","CYPRUS","2004","INSURANCE TECHNICAL RESERVES","CYPRUS POUNDS","0"
"423a6306GG...","CYPRUS","2004","INSURANCE TECHNICAL RESERVES","CYPRUS POUNDS","0"
"423a6M35GG...","CYPRUS","2004","GROSS DEBT AT FACE VALUE","CYPRUS POUNDS","8882560000"
"423a6307GG...","CYPRUS","2004","FINANCIAL DERIVATIVES","CYPRUS POUNDS","0"
"423a6207GG...","CYPRUS","2004","FINANCIAL DERIVATIVES","CYPRUS POUNDS","0"
"423a62..GG...","CYPRUS","2004","FINANCIAL ASSETS","CYPRUS POUNDS","3699390000"
"423a6202GG...","CYPRUS","2004","CURRENCY AND DEPOSITS","CYPRUS POUNDS","1490260000"
"423a6302GG...","CYPRUS","2004","CURRENCY AND DEPOSITS","CYPRUS POUNDS","0"
"423a6205GG...","CYPRUS","2003","SHARES AND OTHER EQUITY","CYPRUS POUNDS","1485290000"
"423a6305GG...","CYPRUS","2003","SHARES AND OTHER EQUITY","CYPRUS POUNDS","0"
"423a6303GG...","CYPRUS","2003","SECURITIES OTHER THAN SHARES","CYPRUS POUNDS","5724650000"
"423a6203GG...","CYPRUS","2003","SECURITIES OTHER THAN SHARES","CYPRUS POUNDS","0"
"423a6208GG...","CYPRUS","2003","OTHER ACCOUNTS RECEIVABLE","CYPRUS POUNDS","200420000"
"423a6308GG...","CYPRUS","2003","OTHER ACCOUNTS PAYABLE","CYPRUS POUNDS","37590000"
"423a6M2.GG...","CYPRUS","2003","NET FINANCIAL WORTH [62-63]","CYPRUS POUNDS","-4766000000"
"423a623.GG...","CYPRUS","2003","MONETARY GOLD AND SDRS","CYPRUS POUNDS","0"
"423a6304GG...","CYPRUS","2003","LOANS","CYPRUS POUNDS","2383770000"
"423a6204GG...","CYPRUS","2003","LOANS","CYPRUS POUNDS","364550000"
"423a63..GG...","CYPRUS","2003","LIABILITIES","CYPRUS POUNDS","8146010000"
"423a6206GG...","CYPRUS","2003","INSURANCE TECHNICAL RESERVES","CYPRUS POUNDS","0"
"423a6306GG...","CYPRUS","2003","INSURANCE TECHNICAL RESERVES","CYPRUS POUNDS","0"
"423a6M35GG...","CYPRUS","2003","GROSS DEBT AT FACE VALUE","CYPRUS POUNDS","8108440000"
"423a6307GG...","CYPRUS","2003","FINANCIAL DERIVATIVES","CYPRUS POUNDS","0"
"423a6207GG...","CYPRUS","2003","FINANCIAL DERIVATIVES","CYPRUS POUNDS","0"
"423a62..GG...","CYPRUS","2003","FINANCIAL ASSETS","CYPRUS POUNDS","3380010000"
"423a6202GG...","CYPRUS","2003","CURRENCY AND DEPOSITS","CYPRUS POUNDS","1329750000"
"423a6302GG...","CYPRUS","2003","CURRENCY AND DEPOSITS","CYPRUS POUNDS","0"
"423a6205GG...","CYPRUS","2002","SHARES AND OTHER EQUITY","CYPRUS POUNDS","1524410000"
"423a6305GG...","CYPRUS","2002","SHARES AND OTHER EQUITY","CYPRUS POUNDS","0"
"423a6303GG...","CYPRUS","2002","SECURITIES OTHER THAN SHARES","CYPRUS POUNDS","4929680000"
"423a6203GG...","CYPRUS","2002","SECURITIES OTHER THAN SHARES","CYPRUS POUNDS","0"
"423a6208GG...","CYPRUS","2002","OTHER ACCOUNTS RECEIVABLE","CYPRUS POUNDS","124040000"
"423a6308GG...","CYPRUS","2002","OTHER ACCOUNTS PAYABLE","CYPRUS POUNDS","22720000"
"423a6M2.GG...","CYPRUS","2002","NET FINANCIAL WORTH [62-63]","CYPRUS POUNDS","-3975790000"
"423a623.GG...","CYPRUS","2002","MONETARY GOLD AND SDRS","CYPRUS POUNDS","0"
"423a6304GG...","CYPRUS","2002","LOANS","CYPRUS POUNDS","2166560000"
"423a6204GG...","CYPRUS","2002","LOANS","CYPRUS POUNDS","339260000"
"423a63..GG...","CYPRUS","2002","LIABILITIES","CYPRUS POUNDS","7118960000"
"423a6206GG...","CYPRUS","2002","INSURANCE TECHNICAL RESERVES","CYPRUS POUNDS","0"
"423a6306GG...","CYPRUS","2002","INSURANCE TECHNICAL RESERVES","CYPRUS POUNDS","0"
"423a6M35GG...","CYPRUS","2002","GROSS DEBT AT FACE VALUE","CYPRUS POUNDS","7096200000"
"423a6307GG...","CYPRUS","2002","FINANCIAL DERIVATIVES","CYPRUS POUNDS","0"
"423a6207GG...","CYPRUS","2002","FINANCIAL DERIVATIVES","CYPRUS POUNDS","0"
"423a62..GG...","CYPRUS","2002","FINANCIAL ASSETS","CYPRUS POUNDS","3143170000"
"423a6202GG...","CYPRUS","2002","CURRENCY AND DEPOSITS","CYPRUS POUNDS","1155460000"
"423a6302GG...","CYPRUS","2002","CURRENCY AND DEPOSITS","CYPRUS POUNDS","0"
"423a6305GG...","CYPRUS","2001","SHARES AND OTHER EQUITY","CYPRUS POUNDS","0"
"423a6205GG...","CYPRUS","2001","SHARES AND OTHER EQUITY","CYPRUS POUNDS","1559440000"
"423a6203GG...","CYPRUS","2001","SECURITIES OTHER THAN SHARES","CYPRUS POUNDS","0"
"423a6303GG...","CYPRUS","2001","SECURITIES OTHER THAN SHARES","CYPRUS POUNDS","4972840000"
"423a6208GG...","CYPRUS","2001","OTHER ACCOUNTS RECEIVABLE","CYPRUS POUNDS","72100000"
"423a6308GG...","CYPRUS","2001","OTHER ACCOUNTS PAYABLE","CYPRUS POUNDS","17430000"
"423a6M2.GG...","CYPRUS","2001","NET FINANCIAL WORTH [62-63]","CYPRUS POUNDS","-3432200000"
"423a623.GG...","CYPRUS","2001","MONETARY GOLD AND SDRS","CYPRUS POUNDS","0"
"423a6304GG...","CYPRUS","2001","LOANS","CYPRUS POUNDS","559500000"
"423a6204GG...","CYPRUS","2001","LOANS","CYPRUS POUNDS","322410000"
"423a63..GG...","CYPRUS","2001","LIABILITIES","CYPRUS POUNDS","6470140000"
"423a6206GG...","CYPRUS","2001","INSURANCE TECHNICAL RESERVES","CYPRUS POUNDS","0"
"423a6306GG...","CYPRUS","2001","INSURANCE TECHNICAL RESERVES","CYPRUS POUNDS","0"
"423a6M35GG...","CYPRUS","2001","GROSS DEBT AT FACE VALUE","CYPRUS POUNDS","6452710000"
"423a6307GG...","CYPRUS","2001","FINANCIAL DERIVATIVES","CYPRUS POUNDS","0"
"423a6207GG...","CYPRUS","2001","FINANCIAL DERIVATIVES","CYPRUS POUNDS","0"
"423a62..GG...","CYPRUS","2001","FINANCIAL ASSETS","CYPRUS POUNDS","3037940000"
"423a6202GG...","CYPRUS","2001","CURRENCY AND DEPOSITS","CYPRUS POUNDS","1083990000"
"423a6302GG...","CYPRUS","2001","CURRENCY AND DEPOSITS","CYPRUS POUNDS","920370000"
"423a6305GG...","CYPRUS","2000","SHARES AND OTHER EQUITY","CYPRUS POUNDS","0"
"423a6205GG...","CYPRUS","2000","SHARES AND OTHER EQUITY","CYPRUS POUNDS","1423270000"
"423a6203GG...","CYPRUS","2000","SECURITIES OTHER THAN SHARES","CYPRUS POUNDS","0"
"423a6303GG...","CYPRUS","2000","SECURITIES OTHER THAN SHARES","CYPRUS POUNDS","4184030000"
"423a6208GG...","CYPRUS","2000","OTHER ACCOUNTS RECEIVABLE","CYPRUS POUNDS","55700000"
"423a6308GG...","CYPRUS","2000","OTHER ACCOUNTS PAYABLE","CYPRUS POUNDS","10250000"
"423a6M2.GG...","CYPRUS","2000","NET FINANCIAL WORTH [62-63]","CYPRUS POUNDS","-3342090000"
"423a623.GG...","CYPRUS","2000","MONETARY GOLD AND SDRS","CYPRUS POUNDS","0"
"423a6304GG...","CYPRUS","2000","LOANS","CYPRUS POUNDS","629350000"
"423a6204GG...","CYPRUS","2000","LOANS","CYPRUS POUNDS","298240000"
"423a63..GG...","CYPRUS","2000","LIABILITIES","CYPRUS POUNDS","5823790000"
"423a6206GG...","CYPRUS","2000","INSURANCE TECHNICAL RESERVES","CYPRUS POUNDS","0"
"423a6306GG...","CYPRUS","2000","INSURANCE TECHNICAL RESERVES","CYPRUS POUNDS","0"
"423a6M35GG...","CYPRUS","2000","GROSS DEBT AT FACE VALUE","CYPRUS POUNDS","5813530000"
"423a6307GG...","CYPRUS","2000","FINANCIAL DERIVATIVES","CYPRUS POUNDS","0"
"423a6207GG...","CYPRUS","2000","FINANCIAL DERIVATIVES","CYPRUS POUNDS","0"
"423a62..GG...","CYPRUS","2000","FINANCIAL ASSETS","CYPRUS POUNDS","2481700000"
"423a6202GG...","CYPRUS","2000","CURRENCY AND DEPOSITS","CYPRUS POUNDS","704490000"
"423a6302GG...","CYPRUS","2000","CURRENCY AND DEPOSITS","CYPRUS POUNDS","1000160000"
"423a6305GG...","CYPRUS","1999","SHARES AND OTHER EQUITY","CYPRUS POUNDS","0"
"423a623.GG...","CYPRUS","1999","MONETARY GOLD AND SDRS","CYPRUS POUNDS","0"
"935a6205GG...","CZECH REPUBLIC","2008","SHARES AND OTHER EQUITY","KORUNY","757518000000"
"935a6305GG...","CZECH REPUBLIC","2008","SHARES AND OTHER EQUITY","KORUNY","0"
"935a6303GG...","CZECH REPUBLIC","2008","SECURITIES OTHER THAN SHARES","KORUNY","951686000000"
"935a6203GG...","CZECH REPUBLIC","2008","SECURITIES OTHER THAN SHARES","KORUNY","8227000000"
"935a6208GG...","CZECH REPUBLIC","2008","OTHER ACCOUNTS RECEIVABLE","KORUNY","282266000000"
"935a6308GG...","CZECH REPUBLIC","2008","OTHER ACCOUNTS PAYABLE","KORUNY","227628000000"
"935a6M2.GG...","CZECH REPUBLIC","2008","NET FINANCIAL WORTH [62-63]","KORUNY","237299000000"
"935a623.GG...","CZECH REPUBLIC","2008","MONETARY GOLD AND SDRS","KORUNY","0"
"935a6304GG...","CZECH REPUBLIC","2008","LOANS","KORUNY","153783000000"
"935a6204GG...","CZECH REPUBLIC","2008","LOANS","KORUNY","40795600000"
"935a63..GG...","CZECH REPUBLIC","2008","LIABILITIES","KORUNY","1336940000000"
"935a6206GG...","CZECH REPUBLIC","2008","INSURANCE TECHNICAL RESERVES","KORUNY","1249000000"
"935a6306GG...","CZECH REPUBLIC","2008","INSURANCE TECHNICAL RESERVES","KORUNY","0"
"935a6M35GG...","CZECH REPUBLIC","2008","GROSS DEBT AT FACE VALUE","KORUNY","1104910000000"
"935a6307GG...","CZECH REPUBLIC","2008","FINANCIAL DERIVATIVES","KORUNY","3845000000"
"935a6207GG...","CZECH REPUBLIC","2008","FINANCIAL DERIVATIVES","KORUNY","13810000000"
"935a62..GG...","CZECH REPUBLIC","2008","FINANCIAL ASSETS","KORUNY","1574240000000"
"935a6202GG...","CZECH REPUBLIC","2008","CURRENCY AND DEPOSITS","KORUNY","470375000000"
"935a6302GG...","CZECH REPUBLIC","2008","CURRENCY AND DEPOSITS","KORUNY","0"
"935a6305GG...","CZECH REPUBLIC","2007","SHARES AND OTHER EQUITY","KORUNY","0"
"935a6205GG...","CZECH REPUBLIC","2007","SHARES AND OTHER EQUITY","KORUNY","932874000000"
"935a6203GG...","CZECH REPUBLIC","2007","SECURITIES OTHER THAN SHARES","KORUNY","13057000000"
"935a6303GG...","CZECH REPUBLIC","2007","SECURITIES OTHER THAN SHARES","KORUNY","870638000000"
"935a6208GG...","CZECH REPUBLIC","2007","OTHER ACCOUNTS RECEIVABLE","KORUNY","295771000000"
"935a6308GG...","CZECH REPUBLIC","2007","OTHER ACCOUNTS PAYABLE","KORUNY","164047000000"
"935a6M2.GG...","CZECH REPUBLIC","2007","NET FINANCIAL WORTH [62-63]","KORUNY","503871000000"
"935a623.GG...","CZECH REPUBLIC","2007","MONETARY GOLD AND SDRS","KORUNY","0"
"935a6304GG...","CZECH REPUBLIC","2007","LOANS","KORUNY","152874000000"
"935a6204GG...","CZECH REPUBLIC","2007","LOANS","KORUNY","49248000000"
"935a63..GG...","CZECH REPUBLIC","2007","LIABILITIES","KORUNY","1191730000000"
"935a6206GG...","CZECH REPUBLIC","2007","INSURANCE TECHNICAL RESERVES","KORUNY","2158000000"
"935a6306GG...","CZECH REPUBLIC","2007","INSURANCE TECHNICAL RESERVES","KORUNY","0"
"935a6M35GG...","CZECH REPUBLIC","2007","GROSS DEBT AT FACE VALUE","KORUNY","1023780000000"
"935a6307GG...","CZECH REPUBLIC","2007","FINANCIAL DERIVATIVES","KORUNY","4174000000"
"935a6207GG...","CZECH REPUBLIC","2007","FINANCIAL DERIVATIVES","KORUNY","9322000000"
"935a62..GG...","CZECH REPUBLIC","2007","FINANCIAL ASSETS","KORUNY","1695600000000"
"935a6202GG...","CZECH REPUBLIC","2007","CURRENCY AND DEPOSITS","KORUNY","393174000000"
"935a6302GG...","CZECH REPUBLIC","2007","CURRENCY AND DEPOSITS","KORUNY","0"
"935a6305GG...","CZECH REPUBLIC","2006","SHARES AND OTHER EQUITY","KORUNY","0"
"935a6205GG...","CZECH REPUBLIC","2006","SHARES AND OTHER EQUITY","KORUNY","793706000000"
"935a6203GG...","CZECH REPUBLIC","2006","SECURITIES OTHER THAN SHARES","KORUNY","13093000000"
"935a6303GG...","CZECH REPUBLIC","2006","SECURITIES OTHER THAN SHARES","KORUNY","786070000000"
"935a6208GG...","CZECH REPUBLIC","2006","OTHER ACCOUNTS RECEIVABLE","KORUNY","276713000000"
"935a6308GG...","CZECH REPUBLIC","2006","OTHER ACCOUNTS PAYABLE","KORUNY","142510000000"
"935a6M2.GG...","CZECH REPUBLIC","2006","NET FINANCIAL WORTH [62-63]","KORUNY","376551000000"
"935a623.GG...","CZECH REPUBLIC","2006","MONETARY GOLD AND SDRS","KORUNY","0"
"935a6304GG...","CZECH REPUBLIC","2006","LOANS","KORUNY","159712000000"
"935a6204GG...","CZECH REPUBLIC","2006","LOANS","KORUNY","60740000000"
"935a63..GG...","CZECH REPUBLIC","2006","LIABILITIES","KORUNY","1092690000000"
"935a6206GG...","CZECH REPUBLIC","2006","INSURANCE TECHNICAL RESERVES","KORUNY","2108000000"
"935a6306GG...","CZECH REPUBLIC","2006","INSURANCE TECHNICAL RESERVES","KORUNY","0"
"935a6M35GG...","CZECH REPUBLIC","2006","GROSS DEBT AT FACE VALUE","KORUNY","948276000000"
"935a6307GG...","CZECH REPUBLIC","2006","FINANCIAL DERIVATIVES","KORUNY","4377000000"
"935a6207GG...","CZECH REPUBLIC","2006","FINANCIAL DERIVATIVES","KORUNY","5066000000"
"935a62..GG...","CZECH REPUBLIC","2006","FINANCIAL ASSETS","KORUNY","1469240000000"
"935a6202GG...","CZECH REPUBLIC","2006","CURRENCY AND DEPOSITS","KORUNY","317817000000"
"935a6302GG...","CZECH REPUBLIC","2006","CURRENCY AND DEPOSITS","KORUNY","23000000"
"935a6305GG...","CZECH REPUBLIC","2005","SHARES AND OTHER EQUITY","KORUNY","0"
"935a6205GG...","CZECH REPUBLIC","2005","SHARES AND OTHER EQUITY","KORUNY","677909000000"
"935a6203GG...","CZECH REPUBLIC","2005","SECURITIES OTHER THAN SHARES","KORUNY","16496000000"
"935a6303GG...","CZECH REPUBLIC","2005","SECURITIES OTHER THAN SHARES","KORUNY","696651000000"
"935a6208GG...","CZECH REPUBLIC","2005","OTHER ACCOUNTS RECEIVABLE","KORUNY","254929000000"
"935a6308GG...","CZECH REPUBLIC","2005","OTHER ACCOUNTS PAYABLE","KORUNY","134482000000"
"935a6M2.GG...","CZECH REPUBLIC","2005","NET FINANCIAL WORTH [62-63]","KORUNY","338482000000"
"935a623.GG...","CZECH REPUBLIC","2005","MONETARY GOLD AND SDRS","KORUNY","0"
"935a6304GG...","CZECH REPUBLIC","2005","LOANS","KORUNY","186570000000"
"935a6204GG...","CZECH REPUBLIC","2005","LOANS","KORUNY","69710000000"
"935a63..GG...","CZECH REPUBLIC","2005","LIABILITIES","KORUNY","1022410000000"
"935a6206GG...","CZECH REPUBLIC","2005","INSURANCE TECHNICAL RESERVES","KORUNY","1822000000"
"935a6306GG...","CZECH REPUBLIC","2005","INSURANCE TECHNICAL RESERVES","KORUNY","0"
"935a6M35GG...","CZECH REPUBLIC","2005","GROSS DEBT AT FACE VALUE","KORUNY","885381000000"
"935a6307GG...","CZECH REPUBLIC","2005","FINANCIAL DERIVATIVES","KORUNY","4091000000"
"935a6207GG...","CZECH REPUBLIC","2005","FINANCIAL DERIVATIVES","KORUNY","3008000000"
"935a62..GG...","CZECH REPUBLIC","2005","FINANCIAL ASSETS","KORUNY","1360890000000"
"935a6202GG...","CZECH REPUBLIC","2005","CURRENCY AND DEPOSITS","KORUNY","337016000000"
"935a6302GG...","CZECH REPUBLIC","2005","CURRENCY AND DEPOSITS","KORUNY","614000000"
"935a6305GG...","CZECH REPUBLIC","2004","SHARES AND OTHER EQUITY","KORUNY","0"
"935a6205GG...","CZECH REPUBLIC","2004","SHARES AND OTHER EQUITY","KORUNY","623635000000"
"935a6203GG...","CZECH REPUBLIC","2004","SECURITIES OTHER THAN SHARES","KORUNY","18753000000"
"935a6303GG...","CZECH REPUBLIC","2004","SECURITIES OTHER THAN SHARES","KORUNY","629796000000"
"935a6208GG...","CZECH REPUBLIC","2004","OTHER ACCOUNTS RECEIVABLE","KORUNY","257009000000"
"935a6308GG...","CZECH REPUBLIC","2004","OTHER ACCOUNTS PAYABLE","KORUNY","122882000000"
"935a6M2.GG...","CZECH REPUBLIC","2004","NET FINANCIAL WORTH [62-63]","KORUNY","272821000000"
"935a623.GG...","CZECH REPUBLIC","2004","MONETARY GOLD AND SDRS","KORUNY","0"
"935a6304GG...","CZECH REPUBLIC","2004","LOANS","KORUNY","211156000000"
"935a6204GG...","CZECH REPUBLIC","2004","LOANS","KORUNY","120266000000"
"935a63..GG...","CZECH REPUBLIC","2004","LIABILITIES","KORUNY","969753000000"
"935a6206GG...","CZECH REPUBLIC","2004","INSURANCE TECHNICAL RESERVES","KORUNY","1246000000"
"935a6306GG...","CZECH REPUBLIC","2004","INSURANCE TECHNICAL RESERVES","KORUNY","0"
"935a6M35GG...","CZECH REPUBLIC","2004","GROSS DEBT AT FACE VALUE","KORUNY","847789000000"
"935a6307GG...","CZECH REPUBLIC","2004","FINANCIAL DERIVATIVES","KORUNY","3095000000"
"935a6207GG...","CZECH REPUBLIC","2004","FINANCIAL DERIVATIVES","KORUNY","3876000000"
"935a62..GG...","CZECH REPUBLIC","2004","FINANCIAL ASSETS","KORUNY","1242570000000"
"935a6202GG...","CZECH REPUBLIC","2004","CURRENCY AND DEPOSITS","KORUNY","217789000000"
"935a6302GG...","CZECH REPUBLIC","2004","CURRENCY AND DEPOSITS","KORUNY","2824000000"
"935a6305GG...","CZECH REPUBLIC","2003","SHARES AND OTHER EQUITY","KORUNY","0"
"935a6205GG...","CZECH REPUBLIC","2003","SHARES AND OTHER EQUITY","KORUNY","436997000000"
"935a6203GG...","CZECH REPUBLIC","2003","SECURITIES OTHER THAN SHARES","KORUNY","7587000000"
"935a6303GG...","CZECH REPUBLIC","2003","SECURITIES OTHER THAN SHARES","KORUNY","526203000000"
"935a6208GG...","CZECH REPUBLIC","2003","OTHER ACCOUNTS RECEIVABLE","KORUNY","273729000000"
"935a6308GG...","CZECH REPUBLIC","2003","OTHER ACCOUNTS PAYABLE","KORUNY","125797000000"
"935a6M2.GG...","CZECH REPUBLIC","2003","NET FINANCIAL WORTH [62-63]","KORUNY","192260000000"
"935a623.GG...","CZECH REPUBLIC","2003","MONETARY GOLD AND SDRS","KORUNY","0"
"935a6304GG...","CZECH REPUBLIC","2003","LOANS","KORUNY","235793000000"
"935a6204GG...","CZECH REPUBLIC","2003","LOANS","KORUNY","147120000000"
"935a63..GG...","CZECH REPUBLIC","2003","LIABILITIES","KORUNY","893486000000"
"935a6206GG...","CZECH REPUBLIC","2003","INSURANCE TECHNICAL RESERVES","KORUNY","913000000"
"935a6306GG...","CZECH REPUBLIC","2003","INSURANCE TECHNICAL RESERVES","KORUNY","0"
"935a6M35GG...","CZECH REPUBLIC","2003","GROSS DEBT AT FACE VALUE","KORUNY","768253000000"
"935a6307GG...","CZECH REPUBLIC","2003","FINANCIAL DERIVATIVES","KORUNY","1737000000"
"935a6207GG...","CZECH REPUBLIC","2003","FINANCIAL DERIVATIVES","KORUNY","10059000000"
"935a62..GG...","CZECH REPUBLIC","2003","FINANCIAL ASSETS","KORUNY","1085750000000"
"935a6202GG...","CZECH REPUBLIC","2003","CURRENCY AND DEPOSITS","KORUNY","209341000000"
"935a6302GG...","CZECH REPUBLIC","2003","CURRENCY AND DEPOSITS","KORUNY","3956000000"
"935a6305GG...","CZECH REPUBLIC","2002","SHARES AND OTHER EQUITY","KORUNY","0"
"935a6205GG...","CZECH REPUBLIC","2002","SHARES AND OTHER EQUITY","KORUNY","486560000000"
"935a6203GG...","CZECH REPUBLIC","2002","SECURITIES OTHER THAN SHARES","KORUNY","28843000000"
"935a6303GG...","CZECH REPUBLIC","2002","SECURITIES OTHER THAN SHARES","KORUNY","429411000000"
"935a6208GG...","CZECH REPUBLIC","2002","OTHER ACCOUNTS RECEIVABLE","KORUNY","234272000000"
"935a6308GG...","CZECH REPUBLIC","2002","OTHER ACCOUNTS PAYABLE","KORUNY","111439000000"
"935a6M2.GG...","CZECH REPUBLIC","2002","NET FINANCIAL WORTH [62-63]","KORUNY","399808000000"
"935a623.GG...","CZECH REPUBLIC","2002","MONETARY GOLD AND SDRS","KORUNY","0"
"935a6304GG...","CZECH REPUBLIC","2002","LOANS","KORUNY","243139000000"
"935a6204GG...","CZECH REPUBLIC","2002","LOANS","KORUNY","236357000000"
"935a63..GG...","CZECH REPUBLIC","2002","LIABILITIES","KORUNY","808837000000"
"935a6306GG...","CZECH REPUBLIC","2002","INSURANCE TECHNICAL RESERVES","KORUNY","0"
"935a6206GG...","CZECH REPUBLIC","2002","INSURANCE TECHNICAL RESERVES","KORUNY","1541000000"
"935a6M35GG...","CZECH REPUBLIC","2002","GROSS DEBT AT FACE VALUE","KORUNY","694956000000"
"935a6307GG...","CZECH REPUBLIC","2002","FINANCIAL DERIVATIVES","KORUNY","432000000"
"935a6207GG...","CZECH REPUBLIC","2002","FINANCIAL DERIVATIVES","KORUNY","5130000000"
"935a62..GG...","CZECH REPUBLIC","2002","FINANCIAL ASSETS","KORUNY","1208640000000"
"935a6202GG...","CZECH REPUBLIC","2002","CURRENCY AND DEPOSITS","KORUNY","215942000000"
"935a6302GG...","CZECH REPUBLIC","2002","CURRENCY AND DEPOSITS","KORUNY","24416000000"
"935a6305GG...","CZECH REPUBLIC","2001","SHARES AND OTHER EQUITY","KORUNY","0"
"935a6205GG...","CZECH REPUBLIC","2001","SHARES AND OTHER EQUITY","KORUNY","513826000000"
"935a6203GG...","CZECH REPUBLIC","2001","SECURITIES OTHER THAN SHARES","KORUNY","46988000000"
"935a6303GG...","CZECH REPUBLIC","2001","SECURITIES OTHER THAN SHARES","KORUNY","356136000000"
"935a6208GG...","CZECH REPUBLIC","2001","OTHER ACCOUNTS RECEIVABLE","KORUNY","262743000000"
"935a6308GG...","CZECH REPUBLIC","2001","OTHER ACCOUNTS PAYABLE","KORUNY","131853000000"
"935a6M2.GG...","CZECH REPUBLIC","2001","NET FINANCIAL WORTH [62-63]","KORUNY","597421000000"
"935a623.GG...","CZECH REPUBLIC","2001","MONETARY GOLD AND SDRS","KORUNY","0"
"935a6304GG...","CZECH REPUBLIC","2001","LOANS","KORUNY","222753000000"
"935a6204GG...","CZECH REPUBLIC","2001","LOANS","KORUNY","321299000000"
"935a63..GG...","CZECH REPUBLIC","2001","LIABILITIES","KORUNY","718725000000"
"935a6306GG...","CZECH REPUBLIC","2001","INSURANCE TECHNICAL RESERVES","KORUNY","0"
"935a6206GG...","CZECH REPUBLIC","2001","INSURANCE TECHNICAL RESERVES","KORUNY","123000000"
"935a6M35GG...","CZECH REPUBLIC","2001","GROSS DEBT AT FACE VALUE","KORUNY","585407000000"
"935a6307GG...","CZECH REPUBLIC","2001","FINANCIAL DERIVATIVES","KORUNY","820000000"
"935a6207GG...","CZECH REPUBLIC","2001","FINANCIAL DERIVATIVES","KORUNY","873000000"
"935a62..GG...","CZECH REPUBLIC","2001","FINANCIAL ASSETS","KORUNY","1316150000000"
"935a6202GG...","CZECH REPUBLIC","2001","CURRENCY AND DEPOSITS","KORUNY","170294000000"
"935a6302GG...","CZECH REPUBLIC","2001","CURRENCY AND DEPOSITS","KORUNY","7163000000"
"935a6305GG...","CZECH REPUBLIC","2000","SHARES AND OTHER EQUITY","KORUNY","0"
"935a6205GG...","CZECH REPUBLIC","2000","SHARES AND OTHER EQUITY","KORUNY","561224000000"
"935a6203GG...","CZECH REPUBLIC","2000","SECURITIES OTHER THAN SHARES","KORUNY","24868000000"
"935a6303GG...","CZECH REPUBLIC","2000","SECURITIES OTHER THAN SHARES","KORUNY","274737000000"
"935a6208GG...","CZECH REPUBLIC","2000","OTHER ACCOUNTS RECEIVABLE","KORUNY","218519000000"
"935a6308GG...","CZECH REPUBLIC","2000","OTHER ACCOUNTS PAYABLE","KORUNY","166671000000"
"935a6M2.GG...","CZECH REPUBLIC","2000","NET FINANCIAL WORTH [62-63]","KORUNY","592172000000"
"935a623.GG...","CZECH REPUBLIC","2000","MONETARY GOLD AND SDRS","KORUNY","0"
"935a6304GG...","CZECH REPUBLIC","2000","LOANS","KORUNY","129749000000"
"935a6204GG...","CZECH REPUBLIC","2000","LOANS","KORUNY","218796000000"
"935a63..GG...","CZECH REPUBLIC","2000","LIABILITIES","KORUNY","571157000000"
"935a6306GG...","CZECH REPUBLIC","2000","INSURANCE TECHNICAL RESERVES","KORUNY","0"
"935a6206GG...","CZECH REPUBLIC","2000","INSURANCE TECHNICAL RESERVES","KORUNY","868000000"
"935a6M35GG...","CZECH REPUBLIC","2000","GROSS DEBT AT FACE VALUE","KORUNY","404696000000"
"935a6307GG...","CZECH REPUBLIC","2000","FINANCIAL DERIVATIVES","KORUNY","0"
"935a6207GG...","CZECH REPUBLIC","2000","FINANCIAL DERIVATIVES","KORUNY","0"
"935a62..GG...","CZECH REPUBLIC","2000","FINANCIAL ASSETS","KORUNY","1163330000000"
"935a6202GG...","CZECH REPUBLIC","2000","CURRENCY AND DEPOSITS","KORUNY","139054000000"
"935a6302GG...","CZECH REPUBLIC","2000","CURRENCY AND DEPOSITS","KORUNY","0"
"935a6305GG...","CZECH REPUBLIC","1999","SHARES AND OTHER EQUITY","KORUNY","0"
"935a6205GG...","CZECH REPUBLIC","1999","SHARES AND OTHER EQUITY","KORUNY","567002000000"
"935a6203GG...","CZECH REPUBLIC","1999","SECURITIES OTHER THAN SHARES","KORUNY","19922000000"
"935a6303GG...","CZECH REPUBLIC","1999","SECURITIES OTHER THAN SHARES","KORUNY","233310000000"
"935a6208GG...","CZECH REPUBLIC","1999","OTHER ACCOUNTS RECEIVABLE","KORUNY","209020000000"
"935a6308GG...","CZECH REPUBLIC","1999","OTHER ACCOUNTS PAYABLE","KORUNY","182208000000"
"935a6M2.GG...","CZECH REPUBLIC","1999","NET FINANCIAL WORTH [62-63]","KORUNY","620111000000"
"935a623.GG...","CZECH REPUBLIC","1999","MONETARY GOLD AND SDRS","KORUNY","0"
"935a6204GG...","CZECH REPUBLIC","1999","LOANS","KORUNY","204689000000"
"935a6304GG...","CZECH REPUBLIC","1999","LOANS","KORUNY","108271000000"
"935a63..GG...","CZECH REPUBLIC","1999","LIABILITIES","KORUNY","523789000000"
"935a6306GG...","CZECH REPUBLIC","1999","INSURANCE TECHNICAL RESERVES","KORUNY","0"
